Region/country/area,Technology,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Democratic Republic of the Congo,Other solid biofuels,0,0,0,0,0,0,0,2,3,3,3,3,3
Democratic Republic of the Congo,Liquid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,Biogas,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,Total renewable energy,86.2,86.2,206.203,206.215,206.218,206.22,212.74,226.157,226.164,226.162,226.622,226.665,226.665
Congo,Hydropower,74,74,194,194,194,194,200.5,213.9,213.9,213.9,213.9,213.9,213.9
Congo,Renewable hydropower,74,74,194,194,194,194,200.5,213.9,213.9,213.9,213.9,213.9,213.9
Congo,Pumped storage,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,Onshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,Offshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,Solar,0,0,0.003,0.015,0.018,0.02,0.04,0.057,0.064,0.062,0.522,0.565,0.565
Congo,Solar photovoltaic,0,0,0.003,0.015,0.018,0.02,0.04,0.057,0.064,0.062,0.522,0.565,0.565
Congo,Concentrated solar power,0,0,0,0,0,0,0,0,0,0,0,0,0
